entry_id	idx	text
一點|一点|yi1 dian3	5	one o'clock (abbr. for 一點鍾|一点钟[yi1 dian3 zhong1])
七|七|qi1	0	seven
七|七|qi1	1	7
丈夫|丈夫|zhang4 fu5	0	husband
三|三|san1	0	three
三|三|san1	1	3
三十|三十|san1 shi2	0	thirty
三十|三十|san1 shi2	1	30
上|上|shang4	0	(bound form) up; upper; above; previous
上|上|shang4	1	first (of multiple parts)
上|上|shang4	2	to climb; to get onto; to go up
上|上|shang4	3	to attend (class or university)
上|上|shang4	4	(directional complement) up
上|上|shang4	5	(noun suffix) on; above
上面|上面|shang4 mian4	0	on top of
上面|上面|shang4 mian4	1	above-mentioned
上面|上面|shang4 mian4	2	also pr. [shang4 mian5]
下|下|xia4	0	down
下|下|xia4	1	downwards
下|下|xia4	2	below
下|下|xia4	3	lower
下|下|xia4	4	later
下|下|xia4	5	next (week etc)
下|下|xia4	6	second (of two parts)
下|下|xia4	7	to decline
下|下|xia4	8	to go down
下|下|xia4	9	to arrive at (a decision, conclusion etc)
下|下|xia4	10	measure word to show the frequency of an action
下來|下来|xia4 lai5	0	to come down
下來|下来|xia4 lai5	1	(completed action marker)
下來|下来|xia4 lai5	2	(after verb of motion, indicates motion down and towards us, also fig.)
下來|下来|xia4 lai5	3	(indicates continuation from the past towards us)
下來|下来|xia4 lai5	4	to be harvested (of crops)
下來|下来|xia4 lai5	5	to be over (of a period of time)
下來|下来|xia4 lai5	6	to go among the masses (said of leaders)
下午|下午|xia4 wu3	0	afternoon
下午|下午|xia4 wu3	1	CL:個|个[ge4]
下午|下午|xia4 wu3	2	p.m.
下降|下降|xia4 jiang4	0	to decline
下降|下降|xia4 jiang4	1	to drop
下降|下降|xia4 jiang4	2	to fall
下降|下降|xia4 jiang4	3	to go down
下降|下降|xia4 jiang4	4	to decrease
下面|下面|xia4 mian4	0	below
下面|下面|xia4 mian4	1	under
下面|下面|xia4 mian4	2	next
下面|下面|xia4 mian4	3	the following
下面|下面|xia4 mian4	4	also pr. [xia4 mian5]
不久|不久|bu4 jiu3	0	not long (after)
不久|不久|bu4 jiu3	1	before too long
不久|不久|bu4 jiu3	2	soon
不久|不久|bu4 jiu3	3	soon after
不僅|不仅|bu4 jin3	0	not just; not limited to
不僅|不仅|bu4 jin3	1	(as a correlative conjunction) not only (..., but also ...)
不再|不再|bu4 zai4	0	no more; no longer
不到|不到|bu4 dao4	0	not to arrive
不到|不到|bu4 dao4	1	not reaching
不到|不到|bu4 dao4	2	insufficient
不到|不到|bu4 dao4	3	less than
不可|不可|bu4 ke3	0	cannot; should not; must not
不同|不同|bu4 tong2	0	different
不同|不同|bu4 tong2	1	distinct
不同|不同|bu4 tong2	2	not the same
不同|不同|bu4 tong2	3	not alike
不少|不少|bu4 shao3	0	many; quite a few; a good number of
不得不|不得不|bu4 de2 bu4	0	have no choice or option but to
不得不|不得不|bu4 de2 bu4	1	cannot but
不得不|不得不|bu4 de2 bu4	2	have to
不得不|不得不|bu4 de2 bu4	3	can't help it
不得不|不得不|bu4 de2 bu4	4	can't avoid
不斷|不断|bu4 duan4	0	unceasing
不斷|不断|bu4 duan4	1	uninterrupted
不斷|不断|bu4 duan4	2	continuous
不斷|不断|bu4 duan4	3	constant
不是|不是|bu4 shi4	0	no
不是|不是|bu4 shi4	1	is not
不是|不是|bu4 shi4	2	not
不是|不是|bu4 shi5	0	fault; blame
不會|不会|bu4 hui4	0	improbable
不會|不会|bu4 hui4	1	unlikely
不會|不会|bu4 hui4	2	will not (act, happen etc)
不會|不会|bu4 hui4	3	not able
不會|不会|bu4 hui4	4	not having learned to do sth
不會|不会|bu4 hui4	5	(coll.) (Tw) don't mention it
不會|不会|bu4 hui4	6	not at all
不用|不用|bu4 yong4	0	need not
不知|不知|bu4 zhi1	0	not to know
不知|不知|bu4 zhi1	1	unaware
不知|不知|bu4 zhi1	2	unknowingly
不知|不知|bu4 zhi1	3	fig. not to admit (defeat, hardships, tiredness etc)
不能|不能|bu4 neng2	0	cannot
不能|不能|bu4 neng2	1	must not
不能|不能|bu4 neng2	2	should not
不要|不要|bu4 yao4	0	don't!; must not
不過|不过|bu4 guo4	0	only
不過|不过|bu4 guo4	1	merely
不過|不过|bu4 guo4	2	no more than
不過|不过|bu4 guo4	3	but
不過|不过|bu4 guo4	4	however
不過|不过|bu4 guo4	5	anyway (to get back to a previous topic)
不過|不过|bu4 guo4	6	cannot be more (after adjectival)
且|且|qie3	0	and
且|且|qie3	1	moreover
且|且|qie3	2	yet
且|且|qie3	3	for the time being
且|且|qie3	4	to be about to
且|且|qie3	5	both (... and...)
世|世|shi4	0	life
世|世|shi4	1	age
世|世|shi4	2	generation
世|世|shi4	3	era
世|世|shi4	4	world
世|世|shi4	5	lifetime
世|世|shi4	6	epoch
世|世|shi4	7	descendant
世|世|shi4	8	noble
世紀|世纪|shi4 ji4	0	century
並且|并且|bing4 qie3	0	and; besides; moreover; furthermore; in addition
並非|并非|bing4 fei1	0	really isn't
中|中|zhong4	0	to hit (a target)
中|中|zhong4	1	to be struck by (a bullet, illness etc)
中|中|zhong4	2	to win (a prize or lottery)
中央|中央|zhong1 yang1	0	central
中央|中央|zhong1 yang1	1	middle
中央|中央|zhong1 yang1	2	center
中央|中央|zhong1 yang1	3	central authorities (of a state)
中學|中学|zhong1 xue2	0	middle school
中心|中心|zhong1 xin1	0	center; heart; core
中間|中间|zhong1 jian1	0	the middle; the inside
中間|中间|zhong1 jian1	1	in the middle; within; between; among
中間|中间|zhong1 jian1	2	during; in the meantime
丹|丹|dan1	0	red
丹|丹|dan1	1	pellet
丹|丹|dan1	2	powder
丹|丹|dan1	3	cinnabar
主|主|zhu3	0	owner
主|主|zhu3	1	master
主|主|zhu3	2	host
主|主|zhu3	3	individual or party concerned
主|主|zhu3	4	God
主|主|zhu3	5	Lord
主|主|zhu3	6	main
主|主|zhu3	7	to indicate or signify
主|主|zhu3	8	trump card (in card games)
主任|主任|zhu3 ren4	0	director
主任|主任|zhu3 ren4	1	head
主任|主任|zhu3 ren4	2	CL:個|个[ge4]
主席|主席|zhu3 xi2	0	chairperson
主席|主席|zhu3 xi2	1	premier
主席|主席|zhu3 xi2	2	chairman
主席|主席|zhu3 xi2	3	CL:個|个[ge4],位[wei4]
主持|主持|zhu3 chi2	0	to take charge of
主持|主持|zhu3 chi2	1	to manage or direct
主持|主持|zhu3 chi2	2	to preside over
主持|主持|zhu3 chi2	3	to uphold
主持|主持|zhu3 chi2	4	to stand for (justice etc)
主持|主持|zhu3 chi2	5	to host (a TV or radio program etc)
主持|主持|zhu3 chi2	6	(TV) anchor
主義|主义|zhu3 yi4	0	-ism
主義|主义|zhu3 yi4	1	ideology
主要|主要|zhu3 yao4	0	main; principal; major; primary
主角|主角|zhu3 jue2	0	leading role; lead
主角|主角|zhu3 jue2	1	protagonist
主題|主题|zhu3 ti2	0	theme
主題|主题|zhu3 ti2	1	subject
久|久|jiu3	0	(of a period of time) long
之一|之一|zhi1 yi1	0	one of (sth)
之一|之一|zhi1 yi1	1	one out of a multitude
之一|之一|zhi1 yi1	2	one (third, quarter, percent etc)
之下|之下|zhi1 xia4	0	under
之下|之下|zhi1 xia4	1	beneath
之下|之下|zhi1 xia4	2	less than
之中|之中|zhi1 zhong1	0	inside
之中|之中|zhi1 zhong1	1	among
之中|之中|zhi1 zhong1	2	in the midst of (doing sth)
之中|之中|zhi1 zhong1	3	during
之前|之前|zhi1 qian2	0	before
之前|之前|zhi1 qian2	1	prior to
之前|之前|zhi1 qian2	2	ago
之前|之前|zhi1 qian2	3	previously
之前|之前|zhi1 qian2	4	beforehand
之外|之外|zhi1 wai4	0	outside
之外|之外|zhi1 wai4	1	excluding
之後|之后|zhi1 hou4	0	after; behind
之後|之后|zhi1 hou4	1	(at the beginning of a sentence) afterwards; since then
之間|之间|zhi1 jian1	0	(after a noun) between; among; amid
之間|之间|zhi1 jian1	1	(used after certain bisyllabic words to form expressions indicating a short period of time, e.g. 彈指之間|弹指之间[tan2 zhi3 zhi1 jian1])
乘|乘|cheng2	0	to ride
乘|乘|cheng2	1	to mount
乘|乘|cheng2	2	to make use of
乘|乘|cheng2	3	to avail oneself of
乘|乘|cheng2	4	to take advantage of
乘|乘|cheng2	5	to multiply (math.)
乘|乘|cheng2	6	Buddhist sect or creed
乘|乘|sheng4	0	(archaic) four horse military chariot
乘|乘|sheng4	1	(archaic) four
乘|乘|sheng4	2	generic term for history books
乘客|乘客|cheng2 ke4	0	passenger
九|九|jiu3	0	nine
九|九|jiu3	1	9
也|也|ye3	0	also; too; as well; (not ...) either
也|也|ye3	1	(used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X)
也|也|ye3	2	(literary) particle having functions similar to 啊[a5]
乾|乾|qian2	0	one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven
乾|乾|qian2	1	male principle
乾|乾|qian2	2	☰
乾|乾|qian2	3	ancient Chinese compass point: 315° (northwest)
乾|干|gan1	0	dry
乾|干|gan1	1	dried food
乾|干|gan1	2	empty; hollow
乾|干|gan1	3	taken in to nominal kinship; adoptive; foster
乾|干|gan1	4	futile; in vain
乾|干|gan1	5	(dialect) rude; blunt
乾|干|gan1	6	(dialect) to cold-shoulder
亂|乱|luan4	0	in confusion or disorder
亂|乱|luan4	1	in a confused state of mind
亂|乱|luan4	2	disorder
亂|乱|luan4	3	upheaval
亂|乱|luan4	4	riot
亂|乱|luan4	5	illicit sexual relations
亂|乱|luan4	6	to throw into disorder
亂|乱|luan4	7	to mix up
亂|乱|luan4	8	indiscriminate
亂|乱|luan4	9	random
亂|乱|luan4	10	arbitrary
了|了|le5	0	(completed action marker)
了|了|le5	1	(modal particle indicating change of state, situation now)
了|了|le5	2	(modal particle intensifying preceding clause)
了|了|liao3	0	to finish
了|了|liao3	1	(used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4 bu5 liao3] "cannot forget")
了|了|liao3	2	(literary) (usually followed by a negative such as 無|无[wu2] or 不[bu4]) completely (not); entirely (not); (not) in the least
了|了|liao3	3	to understand clearly (variant of 瞭|了[liao3])
了解|了解|liao3 jie3	0	to understand
了解|了解|liao3 jie3	1	to realize
了解|了解|liao3 jie3	2	to find out
事|事|shi4	0	matter
事|事|shi4	1	thing
事|事|shi4	2	item
事|事|shi4	3	work
事|事|shi4	4	affair
事|事|shi4	5	CL:件[jian4],樁|桩[zhuang1],回[hui2]
事件|事件|shi4 jian4	0	incident; event
事實|事实|shi4 shi2	0	fact
事實|事实|shi4 shi2	1	CL:個|个[ge4]
事實上|事实上|shi4 shi2 shang4	0	in fact
事實上|事实上|shi4 shi2 shang4	1	in reality
事實上|事实上|shi4 shi2 shang4	2	actually
事實上|事实上|shi4 shi2 shang4	3	as a matter of fact
事實上|事实上|shi4 shi2 shang4	4	de facto
事實上|事实上|shi4 shi2 shang4	5	ipso facto
事情|事情|shi4 qing5	0	affair; matter; thing; business
事情|事情|shi4 qing5	1	CL:件[jian4],樁|桩[zhuang1]
事故|事故|shi4 gu4	0	accident
事故|事故|shi4 gu4	1	CL:樁|桩[zhuang1],起[qi3],次[ci4]
事業|事业|shi4 ye4	0	undertaking
事業|事业|shi4 ye4	1	project
事業|事业|shi4 ye4	2	activity
事業|事业|shi4 ye4	3	(charitable, political or revolutionary) cause
事業|事业|shi4 ye4	4	publicly funded institution, enterprise or foundation
事業|事业|shi4 ye4	5	career
事業|事业|shi4 ye4	6	occupation
事業|事业|shi4 ye4	7	CL:個|个[ge4]
二|二|er4	0	two
二|二|er4	1	2
二|二|er4	2	(Beijing dialect) stupid
二十|二十|er4 shi2	0	twenty; 20
互相|互相|hu4 xiang1	0	each other
互相|互相|hu4 xiang1	1	mutually
互相|互相|hu4 xiang1	2	mutual
五|五|wu3	0	five
五|五|wu3	1	5
井|井|jing3	0	a well
井|井|jing3	1	CL:口[kou3]
井|井|jing3	2	neat
井|井|jing3	3	orderly
些|些|xie1	0	classifier indicating a small amount or small number greater than 1: some, a few, several
亞|亚|ya4	0	second
亞|亚|ya4	1	next to
亞|亚|ya4	2	inferior
亞|亚|ya4	3	sub-
亞|亚|ya4	4	Taiwan pr. [ya3]
交|交|jiao1	0	to hand over; to deliver; to pay (money); to turn over
交|交|jiao1	1	to make friends
交|交|jiao1	2	(of lines) to intersect
交|交|jiao1	3	variant of 跤[jiao1]
交換|交换|jiao1 huan4	0	to exchange
交換|交换|jiao1 huan4	1	to swap
交換|交换|jiao1 huan4	2	to switch (telecom)
交換|交换|jiao1 huan4	3	commutative (math)
交換|交换|jiao1 huan4	4	to commute
交易|交易|jiao1 yi4	0	to deal; to trade; to transact
交易|交易|jiao1 yi4	1	transaction; deal
交易|交易|jiao1 yi4	2	CL:筆|笔[bi3]
交流|交流|jiao1 liu2	0	to exchange
交流|交流|jiao1 liu2	1	exchange
交流|交流|jiao1 liu2	2	communication
交流|交流|jiao1 liu2	3	interaction
交流|交流|jiao1 liu2	4	to have social contact (with sb)
交通|交通|jiao1 tong1	0	to be connected
交通|交通|jiao1 tong1	1	traffic
交通|交通|jiao1 tong1	2	transportation
交通|交通|jiao1 tong1	3	communications
交通|交通|jiao1 tong1	4	liaison
亮|亮|liang4	0	bright; light
亮|亮|liang4	1	to shine; to flash
亮|亮|liang4	2	loud and clear
亮|亮|liang4	3	to show (one's passport etc); to make public (one's views etc)
人們|人们|ren2 men5	0	people
人口|人口|ren2 kou3	0	population
人口|人口|ren2 kou3	1	people
人員|人员|ren2 yuan2	0	staff
人員|人员|ren2 yuan2	1	crew
人員|人员|ren2 yuan2	2	personnel
人員|人员|ren2 yuan2	3	CL:個|个[ge4]
人士|人士|ren2 shi4	0	person
人士|人士|ren2 shi4	1	figure
人士|人士|ren2 shi4	2	public figure
人數|人数|ren2 shu4	0	number of people
人民|人民|ren2 min2	0	the people
人物|人物|ren2 wu4	0	person; personage; figure (esp. sb of importance)
人物|人物|ren2 wu4	1	character (in a play, novel etc)
人物|人物|ren2 wu4	2	(genre of traditional Chinese painting) figure painting
人生|人生|ren2 sheng1	0	life (one's time on earth)
人類|人类|ren2 lei4	0	humanity
人類|人类|ren2 lei4	1	human race
人類|人类|ren2 lei4	2	mankind
什|什|shen2	0	what
什|什|shi2	0	ten (used in fractions, writing checks etc)
什|什|shi2	1	assorted
什|什|shi2	2	miscellaneous
什麼|什么|shen2 me5	0	what?
什麼|什么|shen2 me5	1	something; anything
今|今|jin1	0	now
今|今|jin1	1	the present time
今|今|jin1	2	current
今|今|jin1	3	contemporary
今|今|jin1	4	this (day, year etc)
今天|今天|jin1 tian1	0	today
今天|今天|jin1 tian1	1	the present time; now
介紹|介绍|jie4 shao4	0	to introduce (sb to sb)
介紹|介绍|jie4 shao4	1	to give a presentation
介紹|介绍|jie4 shao4	2	to present (sb for a job etc)
介紹|介绍|jie4 shao4	3	introduction
仍|仍|reng2	0	still; yet
仍|仍|reng2	1	to remain
仍|仍|reng2	2	(literary) frequently; often
仍然|仍然|reng2 ran2	0	still; as before; yet
仔|仔|zai3	0	variant of 崽[zai3]
仔|仔|zai3	1	(dialect) (bound form) young man
仔|仔|zi3	0	(bound form) (of domestic animals or fowl) young
仔|仔|zi3	1	(bound form) fine; detailed
他|他|ta1	0	(third-person singular) (since the early 20th century, usu. male) he; him; his
他|他|ta1	1	(bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])
他人|他人|ta1 ren2	0	another person; sb else; other people
他們|他们|ta1 men5	0	they; them
代|代|dai4	0	to be a substitute for; to act on behalf of; to replace; to substitute
代|代|dai4	1	generation; dynasty; age; period; (historical) era; (geological) eon
代表|代表|dai4 biao3	0	representative
代表|代表|dai4 biao3	1	delegate
代表|代表|dai4 biao3	2	CL:位[wei4],個|个[ge4],名[ming2]
代表|代表|dai4 biao3	3	to represent
代表|代表|dai4 biao3	4	to stand for
代表|代表|dai4 biao3	5	on behalf of
代表|代表|dai4 biao3	6	in the name of
令|令|ling3	0	classifier for a ream of paper
令|令|ling4	0	to order
令|令|ling4	1	to command
令|令|ling4	2	an order
令|令|ling4	3	warrant
令|令|ling4	4	writ
令|令|ling4	5	to cause
令|令|ling4	6	to make sth happen
令|令|ling4	7	virtuous
令|令|ling4	8	honorific title
令|令|ling4	9	season
令|令|ling4	10	government position (old)
令|令|ling4	11	type of short song or poem
以|以|yi3	0	to use
以|以|yi3	1	by means of
以|以|yi3	2	according to
以|以|yi3	3	in order to
以|以|yi3	4	because of
以|以|yi3	5	at (a certain date or place)
以上|以上|yi3 shang4	0	that level or higher; that amount or more
以上|以上|yi3 shang4	1	the above-mentioned
以上|以上|yi3 shang4	2	(used to indicate that one has completed one's remarks) That is all.
以下|以下|yi3 xia4	0	that level or lower
以下|以下|yi3 xia4	1	that amount or less
以下|以下|yi3 xia4	2	the following
以來|以来|yi3 lai2	0	since (used after a specified time or event)
以前|以前|yi3 qian2	0	before
以前|以前|yi3 qian2	1	formerly
以前|以前|yi3 qian2	2	previous
以前|以前|yi3 qian2	3	ago
以及|以及|yi3 ji2	0	and; as well as
以外|以外|yi3 wai4	0	apart from
以外|以外|yi3 wai4	1	other than
以外|以外|yi3 wai4	2	except for
以外|以外|yi3 wai4	3	external
以外|以外|yi3 wai4	4	outside of
以外|以外|yi3 wai4	5	on the other side of
以外|以外|yi3 wai4	6	beyond
以後|以后|yi3 hou4	0	after
以後|以后|yi3 hou4	1	later
以後|以后|yi3 hou4	2	afterwards
以後|以后|yi3 hou4	3	following
以後|以后|yi3 hou4	4	later on
以後|以后|yi3 hou4	5	in the future
以為|以为|yi3 wei2	0	to think; to believe (often with the implication that the belief is mistaken – unless referring to one's own current belief)
件|件|jian4	0	item
件|件|jian4	1	component
件|件|jian4	2	classifier for events, things, clothes etc
任|任|ren4	0	to assign
任|任|ren4	1	to appoint
任|任|ren4	2	to take up a post
任|任|ren4	3	office
任|任|ren4	4	responsibility
任|任|ren4	5	to let
任|任|ren4	6	to allow
任|任|ren4	7	to give free rein to
任|任|ren4	8	no matter (how, what etc)
任|任|ren4	9	classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)
任何|任何|ren4 he2	0	any; whatever; whichever
任務|任务|ren4 wu5	0	mission; assignment; task; duty; role
任務|任务|ren4 wu5	1	CL:項|项[xiang4]
份|份|fen4	0	classifier for gifts, newspaper, magazine, papers, reports, contracts etc
份|份|fen4	1	variant of 分[fen4]
企業|企业|qi3 ye4	0	company; firm; enterprise; corporation
企業|企业|qi3 ye4	1	CL:家[jia1]
伊|伊|yi1	0	(old) third person singular pronoun ("he" or "she")
伊|伊|yi1	1	second person singular pronoun ("you")
伊|伊|yi1	2	(May 4th period) third person singular feminine pronoun ("she")
伊|伊|yi1	3	(Classical Chinese) introductory particle with no specific meaning
伊|伊|yi1	4	(preceding a noun) that
伊|伊|yi1	5	(bound form) Iraq (abbr. for 伊拉克[Yi1 la1 ke4])
伊|伊|yi1	6	(bound form) Iran (abbr. for 伊朗[Yi1 lang3])
伯|伯|bai3	0	one hundred (old)
伯|伯|bo2	0	father's elder brother
伯|伯|bo2	1	senior
伯|伯|bo2	2	paternal elder uncle
伯|伯|bo2	3	eldest of brothers
伯|伯|bo2	4	respectful form of address
伯|伯|bo2	5	Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]
估計|估计|gu1 ji4	0	to estimate; to assess; to calculate
估計|估计|gu1 ji4	1	(coll.) to reckon; to think (that ...)
似乎|似乎|si4 hu1	0	it seems; seemingly; as if
但|但|dan4	0	but; yet; however; still
但|但|dan4	1	merely; only; just
但是|但是|dan4 shi4	0	but; however
佈|布|bu4	0	variant of 布[bu4]
佈|布|bu4	1	to announce
佈|布|bu4	2	to spread
位|位|wei4	0	position
位|位|wei4	1	location
位|位|wei4	2	place
位|位|wei4	3	seat
位|位|wei4	4	classifier for people (honorific)
位|位|wei4	5	classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)
位|位|wei4	6	(physics) potential
位於|位于|wei4 yu2	0	to be located at
位於|位于|wei4 yu2	1	to be situated at
位於|位于|wei4 yu2	2	to lie
位置|位置|wei4 zhi5	0	position
位置|位置|wei4 zhi5	1	place
位置|位置|wei4 zhi5	2	seat
位置|位置|wei4 zhi5	3	CL:個|个[ge4]
低|低|di1	0	low
低|低|di1	1	beneath
低|低|di1	2	to lower (one's head)
低|低|di1	3	to let droop
低|低|di1	4	to hang down
低|低|di1	5	to incline
住|住|zhu4	0	to live; to reside; to stay
住|住|zhu4	1	to stop; to cease
住|住|zhu4	2	(result complement indicating firmness or a stable achieved state)
何|何|he2	0	what
何|何|he2	1	how
何|何|he2	2	why
何|何|he2	3	which
何|何|he2	4	carry
作|作|zuo1	0	(bound form) worker
作|作|zuo1	1	(bound form) workshop
作|作|zuo1	2	(slang) troublesome; high-maintenance (person)
作|作|zuo4	0	to do; to engage in
作|作|zuo4	1	to write; to compose
作|作|zuo4	2	to pretend; to feign
作|作|zuo4	3	to regard as; to consider to be
作|作|zuo4	4	to be; to act the part of
作|作|zuo4	5	to feel (itchy, nauseous etc)
作|作|zuo4	6	writings; works
作出|作出|zuo4 chu1	0	to put out
作出|作出|zuo4 chu1	1	to come up with
作出|作出|zuo4 chu1	2	to make (a choice, decision, proposal, response, comment etc)
作出|作出|zuo4 chu1	3	to issue (a permit, statement, explanation, apology, reassurance to the public etc)
作出|作出|zuo4 chu1	4	to draw (conclusion)
作出|作出|zuo4 chu1	5	to deliver (speech, judgment)
作出|作出|zuo4 chu1	6	to devise (explanation)
作出|作出|zuo4 chu1	7	to extract
作品|作品|zuo4 pin3	0	work (of art)
作品|作品|zuo4 pin3	1	opus
作品|作品|zuo4 pin3	2	CL:部[bu4],篇[pian1]
作家|作家|zuo4 jia1	0	author
作家|作家|zuo4 jia1	1	CL:個|个[ge4],位[wei4]
作戰|作战|zuo4 zhan4	0	combat
作戰|作战|zuo4 zhan4	1	to fight
作為|作为|zuo4 wei2	0	one's conduct
作為|作为|zuo4 wei2	1	deed
作為|作为|zuo4 wei2	2	activity
作為|作为|zuo4 wei2	3	accomplishment
作為|作为|zuo4 wei2	4	achievement
作為|作为|zuo4 wei2	5	to act as
作為|作为|zuo4 wei2	6	as (in the capacity of)
作為|作为|zuo4 wei2	7	qua
作為|作为|zuo4 wei2	8	to view as
作為|作为|zuo4 wei2	9	to look upon (sth as)
作為|作为|zuo4 wei2	10	to take sth to be
作用|作用|zuo4 yong4	0	to act on; to affect
作用|作用|zuo4 yong4	1	action; function; activity
作用|作用|zuo4 yong4	2	impact; result; effect
作用|作用|zuo4 yong4	3	purpose; intent
作用|作用|zuo4 yong4	4	(suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition
作者|作者|zuo4 zhe3	0	author; writer
你|你|ni3	0	you (informal, as opposed to courteous 您[nin2])
你們|你们|ni3 men5	0	you (plural)
使|使|shi3	0	to make
使|使|shi3	1	to cause
使|使|shi3	2	to enable
使|使|shi3	3	to use
使|使|shi3	4	to employ
使|使|shi3	5	to send
使|使|shi3	6	to instruct sb to do sth
使|使|shi3	7	envoy
使|使|shi3	8	messenger
使得|使得|shi3 de5	0	usable; serviceable
使得|使得|shi3 de5	1	feasible; workable; doable
使得|使得|shi3 de5	2	to make; to cause; to bring about
使用|使用|shi3 yong4	0	to use
使用|使用|shi3 yong4	1	to employ
使用|使用|shi3 yong4	2	to apply
使用|使用|shi3 yong4	3	to make use of
來|来|lai2	0	to come
來|来|lai2	1	(used as a substitute for a more specific verb)
來|来|lai2	2	hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])
來|来|lai2	3	ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])
來|来|lai2	4	for the past (amount of time)
來|来|lai2	5	(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])
來|来|lai2	6	(between two verbs) in order to
來|来|lai2	7	(after a round number) approximately
來|来|lai2	8	(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])
來到|来到|lai2 dao4	0	to arrive; to come
來源|来源|lai2 yuan2	0	source (of information etc)
來源|来源|lai2 yuan2	1	origin
來自|来自|lai2 zi4	0	to come from (a place)
來自|来自|lai2 zi4	1	From: (in email header)
例如|例如|li4 ru2	0	for example; for instance; such as
供|供|gong1	0	to provide; to supply
供|供|gong1	1	to be for (the use or convenience of)
供|供|gong4	0	to lay (sacrificial offerings)
供|供|gong4	1	(bound form) offerings
供|供|gong4	2	to confess (Taiwan pr. [gong1])
供|供|gong4	3	confession; statement (Taiwan pr. [gong1])
依|依|yi1	0	to depend on
依|依|yi1	1	to comply with or listen to sb
依|依|yi1	2	according to
依|依|yi1	3	in the light of
依然|依然|yi1 ran2	0	still; as before
便|便|bian4	0	plain
便|便|bian4	1	informal
便|便|bian4	2	suitable
便|便|bian4	3	convenient
便|便|bian4	4	opportune
便|便|bian4	5	to urinate or defecate
便|便|bian4	6	equivalent to 就[jiu4]: then
便|便|bian4	7	in that case
便|便|bian4	8	even if
便|便|bian4	9	soon afterwards
係|系|xi4	0	to connect
係|系|xi4	1	to relate to
係|系|xi4	2	to tie up
係|系|xi4	3	to bind
係|系|xi4	4	to be (literary)
保|保|bao3	0	to defend; to protect; to keep
保|保|bao3	1	to guarantee; to ensure
保|保|bao3	2	(old) civil administration unit in the baojia 保甲[bao3 jia3] system
保存|保存|bao3 cun2	0	to conserve; to preserve; to keep; to store; (computing) to save (a file etc)
