sense_uid	seq	target_entry_id	target_trad	target_simp	target_pinyin
人民|人民|ren2 min2~1	0	人們|人们|ren2 men5	人們	人们	ren2 men5
什|什|shi2~2	0	十|十|shi2	十	十	shi2
什麼|什么|shen2 me5~1	0	誰|谁|shei2	誰	谁	shei2
仍|仍|reng2~1	0	仍然|仍然|reng2 ran2	仍然	仍然	reng2 ran2
仍|仍|reng2~1	1	還|还|hai2	還	还	hai2
他|他|ta1~1	0	她|她|ta1	她	她	ta1
他|他|ta1~1	1	它|它|ta1	它	它	ta1
他人|他人|ta1 ren2~1	0	別人|别人|bie2 ren5	別人	别人	bie2 ren5
他們|他们|ta1 men5~1	0	她們|她们|ta1 men5	她們	她们	ta1 men5
以|以|yi3~1	0	按照|按照|an4 zhao4	按照	按照	an4 zhao4
以|以|yi3~1	1	因為|因为|yin1 wei4	因為	因为	yin1 wei4
以|以|yi3~3	0	為了|为了|wei4 le5	為了	为了	wei4 le5
以下|以下|yi3 xia4~1	0	以上|以上|yi3 shang4	以上	以上	yi3 shang4
以來|以来|yi3 lai2~1	0	以後|以后|yi3 hou4	以後	以后	yi3 hou4
以前|以前|yi3 qian2~1	0	以後|以后|yi3 hou4	以後	以后	yi3 hou4
以外|以外|yi3 wai4~1	0	以內|以内|yi3 nei4	以內	以内	yi3 nei4
以外|以外|yi3 wai4~1	1	除了|除了|chu2 le5	除了	除了	chu2 le5
以後|以后|yi3 hou4~1	0	後來|后来|hou4 lai2	後來	后来	hou4 lai2
以為|以为|yi3 wei2~1	0	認為|认为|ren4 wei2	認為	认为	ren4 wei2
任|任|ren4~6	0	無論|无论|wu2 lun4	無論	无论	wu2 lun4
任務|任务|ren4 wu5~1	0	工作|工作|gong1 zuo4	工作	工作	gong1 zuo4
伊|伊|yi1~2	0	他|他|ta1	他	他	ta1
伊|伊|yi1~2	1	她|她|ta1	她	她	ta1
伊|伊|yi1~5	0	你|你|ni3	你	你	ni3
伯|伯|bai3~1	0	百|百|bai3	百	百	bai3
伯|伯|bo2~1	0	叔叔|叔叔|shu1 shu5	叔叔	叔叔	shu1 shu5
伯|伯|bo2~3	0	五等爵位|五等爵位|wu3 deng3 jue2 wei4	五等爵位	五等爵位	wu3 deng3 jue2 wei4
似乎|似乎|si4 hu1~1	0	好像|好像|hao3 xiang4	好像	好像	hao3 xiang4
但|但|dan4~1	0	但是|但是|dan4 shi4	但是	但是	dan4 shi4
但是|但是|dan4 shi4~1	0	雖然|虽然|sui1 ran2	雖然	虽然	sui1 ran2
但是|但是|dan4 shi4~1	1	可是|可是|ke3 shi4	可是	可是	ke3 shi4
位|位|wei4~2	0	個|个|ge4	個	个	ge4
何|何|he2~1	0	什麼|什么|shen2 me5	什麼	什么	shen2 me5
何|何|he2~2	0	荷|荷|he4	荷	荷	he4
作|作|zuo4~1	0	做|做|zuo4	做	做	zuo4
作家|作家|zuo4 jia1~1	0	作者|作者|zuo4 zhe3	作者	作者	zuo4 zhe3
作戰|作战|zuo4 zhan4~1	0	戰爭|战争|zhan4 zheng1	戰爭	战争	zhan4 zheng1
你|你|ni3~1	0	您|您|nin2	您	您	nin2
使|使|shi3~5	0	讓|让|rang4	讓	让	rang4
使用|使用|shi3 yong4~1	0	用|用|yong4	用	用	yong4
來|来|lai2~1	0	去|去|qu4	去	去	qu4
來|来|lai2~8	0	明年|明年|ming2 nian2	明年	明年	ming2 nian2
來到|来到|lai2 dao4~1	0	到達|到达|dao4 da2	到達	到达	dao4 da2
例如|例如|li4 ru2~1	0	比如|比如|bi3 ru2	比如	比如	bi3 ru2
依然|依然|yi1 ran2~1	0	仍然|仍然|reng2 ran2	仍然	仍然	reng2 ran2
便|便|bian4~2	0	就|就|jiu4	就	就	jiu4
係|系|xi4~3	0	繫|系|ji4	繫	系	ji4
保|保|bao3~3	0	保甲|保甲|bao3 jia3	保甲	保甲	bao3 jia3
信任|信任|xin4 ren4~1	0	相信|相信|xiang1 xin4	相信	相信	xiang1 xin4
信息|信息|xin4 xi1~1	0	消息|消息|xiao1 xi5	消息	消息	xiao1 xi5
做|做|zuo4~1	0	作|作|zuo4	作	作	zuo4
做出|做出|zuo4 chu1~1	0	作出|作出|zuo4 chu1	作出	作出	zuo4 chu1
停止|停止|ting2 zhi3~1	0	停|停|ting2	停	停	ting2
傳統|传统|chuan2 tong3~1	0	習慣|习惯|xi2 guan4	習慣	习惯	xi2 guan4
僅|仅|jin3~1	0	只|只|zhi3	只	只	zhi3
像|像|xiang4~1	0	一樣|一样|yi1 yang4	一樣	一样	yi1 yang4
像|像|xiang4~2	0	好像|好像|hao3 xiang4	好像	好像	hao3 xiang4
價值|价值|jia4 zhi2~1	0	價格|价格|jia4 ge2	價格	价格	jia4 ge2
億|亿|yi4~1	0	萬|万|wan4	萬	万	wan4
儘管|尽管|jin3 guan3~1	0	雖然|虽然|sui1 ran2	雖然	虽然	sui1 ran2
元|元|yuan2~1	0	塊|块|kuai4	塊	块	kuai4
元素|元素|yuan2 su4~3	0	集合|集合|ji2 he2	集合	集合	ji2 he2
先|先|xian1~1	0	再|再|zai4	再	再	zai4
兒童|儿童|er2 tong2~1	0	孩子|孩子|hai2 zi5	孩子	孩子	hai2 zi5
入|入|ru4~5	0	聲調|声调|sheng1 diao4	聲調	声调	sheng1 diao4
內|内|nei4~1	0	外|外|wai4	外	外	wai4
內容|内容|nei4 rong2~1	0	形式|形式|xing2 shi4	形式	形式	xing2 shi4
全|全|quan2~2	0	都|都|dou1	都	都	dou1
公民|公民|gong1 min2~1	0	人民|人民|ren2 min2	人民	人民	ren2 min2
公路|公路|gong1 lu4~1	0	馬路|马路|ma3 lu4	馬路	马路	ma3 lu4
其他|其他|qi2 ta1~1	0	其它|其它|qi2 ta1	其它	其它	qi2 ta1
其它|其它|qi2 ta1~1	0	其他|其他|qi2 ta1	其他	其他	qi2 ta1
再|再|zai4~1	0	又|又|you4	又	又	you4
冒險|冒险|mao4 xian3~1	0	探險|探险|tan4 xian3	探險	探险	tan4 xian3
冠軍|冠军|guan4 jun1~1	0	亞軍|亚军|ya4 jun1	亞軍	亚军	ya4 jun1
冠軍|冠军|guan4 jun1~1	1	季軍|季军|ji4 jun1	季軍	季军	ji4 jun1
出現|出现|chu1 xian4~1	0	發現|发现|fa1 xian4	發現	发现	fa1 xian4
分子|分子|fen1 zi3~2	0	分母|分母|fen1 mu3	分母	分母	fen1 mu3
分鐘|分钟|fen1 zhong1~1	0	分|分|fen1	分	分	fen1
切|切|qie4~7	0	反切|反切|fan3 qie4	反切	反切	fan3 qie4
別|别|bie2~1	0	不要|不要|bu4 yao4	不要	不要	bu4 yao4
到|到|dao4~1	0	到達|到达|dao4 da2	到達	到达	dao4 da2
到|到|dao4~5	0	周到|周到|zhou1 dao4	周到	周到	zhou1 dao4
到達|到达|dao4 da2~1	0	達到|达到|da2 dao4	達到	达到	da2 dao4
則|则|ze2~1	0	就|就|jiu4	就	就	jiu4
則|则|ze2~1	1	而|而|er2	而	而	er2
則|则|ze2~3	0	條|条|tiao2	條	条	tiao2
前|前|qian2~1	0	後|后|hou4	後	后	hou4
前|前|qian2~6	0	公元前|公元前|gong1 yuan2 qian2	公元前	公元前	gong1 yuan2 qian2
前往|前往|qian2 wang3~1	0	去|去|qu4	去	去	qu4
剛|刚|gang1~1	0	剛才|刚才|gang1 cai2	剛才	刚才	gang1 cai2
副|副|fu4~3	0	雙|双|shuang1	雙	双	shuang1
創造|创造|chuang4 zao4~1	0	製造|制造|zhi4 zao4	製造	制造	zhi4 zao4
力量|力量|li4 liang5~1	0	力氣|力气|li4 qi5	力氣	力气	li4 qi5
加|加|jia1~3	0	加以|加以|jia1 yi3	加以	加以	jia1 yi3
動作|动作|dong4 zuo4~1	0	行動|行动|xing2 dong4	行動	行动	xing2 dong4
勝利|胜利|sheng4 li4~1	0	贏|赢|ying2	贏	赢	ying2
十分|十分|shi2 fen1~1	0	非常|非常|fei1 chang2	非常	非常	fei1 chang2
十分|十分|shi2 fen1~1	1	很|很|hen3	很	很	hen3
升|升|sheng1~4	0	斗|斗|dou3	斗	斗	dou3
即使|即使|ji2 shi3~1	0	雖然|虽然|sui1 ran2	雖然	虽然	sui1 ran2
即使|即使|ji2 shi3~1	1	就算|就算|jiu4 suan4	就算	就算	jiu4 suan4
卷|卷|juan4~3	0	本|本|ben3	本	本	ben3
卻|却|que4~1	0	但是|但是|dan4 shi4	但是	但是	dan4 shi4
原因|原因|yuan2 yin1~1	0	理由|理由|li3 you2	理由	理由	li3 you2
去|去|qu4~1	0	來|来|lai2	來	来	lai2
去|去|qu4~4	0	來|来|lai2	來	来	lai2
去|去|qu4~6	0	距離|距离|ju4 li2	距離	距离	ju4 li2
參與|参与|can1 yu4~1	0	參加|参加|can1 jia1	參加	参加	can1 jia1
又|又|you4~1	0	再|再|zai4	再	再	zai4
及|及|ji2~1	0	和|和|he2	和	和	he2
取得|取得|qu3 de2~1	0	得到|得到|de2 dao4	得到	得到	de2 dao4
口|口|kou3~1	0	嘴|嘴|zui3	嘴	嘴	zui3
另外|另外|ling4 wai4~1	0	其他|其他|qi2 ta1	其他	其他	qi2 ta1
只|只|zhi3~1	0	只有|只有|zhi3 you3	只有	只有	zhi3 you3
只是|只是|zhi3 shi4~2	0	但是|但是|dan4 shi4	但是	但是	dan4 shi4
只有|只有|zhi3 you3~2	0	只要|只要|zhi3 yao4	只要	只要	zhi3 yao4
只能|只能|zhi3 neng2~1	0	只好|只好|zhi3 hao3	只好	只好	zhi3 hao3
叫|叫|jiao4~4	0	讓|让|rang4	讓	让	rang4
叫|叫|jiao4~5	0	被|被|bei4	被	被	bei4
叫做|叫做|jiao4 zuo4~1	0	稱為|称为|cheng1 wei2	稱為	称为	cheng1 wei2
可以|可以|ke3 yi3~1	0	能|能|neng2	能	能	neng2
可以|可以|ke3 yi3~2	0	不行|不行|bu4 xing2	不行	不行	bu4 xing2
可是|可是|ke3 shi4~1	0	但是|但是|dan4 shi4	但是	但是	dan4 shi4
可能|可能|ke3 neng2~1	0	能|能|neng2	能	能	neng2
可能|可能|ke3 neng2~1	1	也許|也许|ye3 xu3	也許	也许	ye3 xu3
右|右|you4~1	0	左|左|zuo3	左	左	zuo3
叶|叶|xie2~1	0	協|协|xie2	協	协	xie2
各|各|ge4~1	0	每|每|mei3	每	每	mei3
合|合|ge3~1	0	升|升|sheng1	升	升	sheng1
合法|合法|he2 fa3~1	0	合理|合理|he2 li3	合理	合理	he2 li3
同|同|tong2~3	0	跟|跟|gen1	跟	跟	gen1
同|同|tong2~3	1	和|和|he2	和	和	he2
同意|同意|tong2 yi4~1	0	答應|答应|da1 ying5	答應	答应	da1 ying5
名|名|ming2~2	0	有名|有名|you3 ming2	有名	有名	you3 ming2
名|名|ming2~5	0	名詞|名词|ming2 ci2	名詞	名词	ming2 ci2
名人|名人|ming2 ren2~1	0	明星|明星|ming2 xing1	明星	明星	ming2 xing1
名字|名字|ming2 zi5~1	0	姓|姓|xing4	姓	姓	xing4
向|向|xiang4~1	0	往|往|wang3	往	往	wang3
君|君|jun1~1	0	君主|君主|jun1 zhu3	君主	君主	jun1 zhu3
听|听|yin3~1	0	聽|听|ting1	聽	听	ting1
呢|呢|ne5~1	0	嗎|吗|ma5	嗎	吗	ma5
周圍|周围|zhou1 wei2~1	0	附近|附近|fu4 jin4	附近	附近	fu4 jin4
命令|命令|ming4 ling4~1	0	要求|要求|yao1 qiu2	要求	要求	yao1 qiu2
商|商|shang1~4	0	智商|智商|zhi4 shang1	智商	智商	zhi4 shang1
善|善|shan4~2	0	善於|善于|shan4 yu2	善於	善于	shan4 yu2
喜|喜|xi3~1	0	喜歡|喜欢|xi3 huan5	喜歡	喜欢	xi3 huan5
單|单|dan1~3	0	雙|双|shuang1	雙	双	shuang1
單|单|dan1~4	0	只|只|zhi3	只	只	zhi3
嗎|吗|ma5~1	0	吧|吧|ba5	吧	吧	ba5
回到|回到|hui2 dao4~1	0	回來|回来|hui2 lai5	回來	回来	hui2 lai5
回到|回到|hui2 dao4~1	1	回去|回去|hui2 qu5	回去	回去	hui2 qu5
回憶|回忆|hui2 yi4~1	0	記憶|记忆|ji4 yi4	記憶	记忆	ji4 yi4
因|因|yin1~2	0	因為|因为|yin1 wei4	因為	因为	yin1 wei4
因此|因此|yin1 ci3~1	0	所以|所以|suo3 yi3	所以	所以	suo3 yi3
因為|因为|yin1 wei4~1	0	所以|所以|suo3 yi3	所以	所以	suo3 yi3
團|团|tuan2~4	0	塊|块|kuai4	塊	块	kuai4
團體|团体|tuan2 ti3~1	0	團隊|团队|tuan2 dui4	團隊	团队	tuan2 dui4
土|土|tu3~5	0	八音|八音|ba1 yin1	八音	八音	ba1 yin1
圣|圣|ku1~1	0	挖|挖|wa1	挖	挖	wa1
在|在|zai4~3	0	著|着|zhe5	著	着	zhe5
地方|地方|di4 fang1~1	0	中央|中央|zhong1 yang1	中央	中央	zhong1 yang1
執行|执行|zhi2 xing2~1	0	進行|进行|jin4 xing2	進行	进行	jin4 xing2
基於|基于|ji1 yu2~1	0	因為|因为|yin1 wei4	因為	因为	yin1 wei4
塊|块|kuai4~3	0	元|元|yuan2	元	元	yuan2
多|多|duo1~3	0	多少|多少|duo1 shao3	多少	多少	duo1 shao3
多|多|duo1~5	0	許多|许多|xu3 duo1	許多	许多	xu3 duo1
夜|夜|ye4~1	0	晚上|晚上|wan3 shang5	晚上	晚上	wan3 shang5
天|天|tian1~2	0	天空|天空|tian1 kong1	天空	天空	tian1 kong1
天|天|tian1~3	0	天氣|天气|tian1 qi4	天氣	天气	tian1 qi4
天氣|天气|tian1 qi4~1	0	氣候|气候|qi4 hou4	氣候	气候	qi4 hou4
太|太|tai4~1	0	很|很|hen3	很	很	hen3
太空|太空|tai4 kong1~1	0	天空|天空|tian1 kong1	天空	天空	tian1 kong1
夫|夫|fu2~1	0	此|此|ci3	此	此	ci3
夫|夫|fu2~3	0	啊|啊|a5	啊	啊	a5
夫人|夫人|fu1 ren5~1	0	太太|太太|tai4 tai5	太太	太太	tai4 tai5
失敗|失败|shi1 bai4~1	0	輸|输|shu1	輸	输	shu1
奇|奇|ji1~1	0	偶數|偶数|ou3 shu4	偶數	偶数	ou3 shu4
套|套|tao4~8	0	河套|河套|He2 tao4	河套	河套	He2 tao4
女人|女人|nu:3 ren2~1	0	女子|女子|nu:3 zi3	女子	女子	nu:3 zi3
女人|女人|nu:3 ren5~1	0	老婆|老婆|lao3 po2	老婆	老婆	lao3 po2
女子|女子|nu:3 zi3~1	0	女人|女人|nu:3 ren2	女人	女人	nu:3 ren2
女性|女性|nu:3 xing4~1	0	男性|男性|nan2 xing4	男性	男性	nan2 xing4
女性|女性|nu:3 xing4~1	1	女人|女人|nu:3 ren2	女人	女人	nu:3 ren2
她|她|ta1~1	0	他|他|ta1	他	他	ta1
她|她|ta1~1	1	它|它|ta1	它	它	ta1
好|好|hao3~2	0	難|难|nan2	難	难	nan2
如|如|ru2~2	0	如果|如果|ru2 guo3	如果	如果	ru2 guo3
如何|如何|ru2 he2~1	0	怎麼樣|怎么样|zen3 me5 yang4	怎麼樣	怎么样	zen3 me5 yang4
如果|如果|ru2 guo3~1	0	要是|要是|yao4 shi5	要是	要是	yao4 shi5
如果|如果|ru2 guo3~1	1	的話|的话|de5 hua4	的話	的话	de5 hua4
妳|你|ni3~1	0	你|你|ni3	你	你	ni3
妻子|妻子|qi1 zi5~1	0	老婆|老婆|lao3 po2	老婆	老婆	lao3 po2
婚姻|婚姻|hun1 yin1~1	0	結婚|结婚|jie2 hun1	結婚	结婚	jie2 hun1
婦女|妇女|fu4 nu:3~1	0	女人|女人|nu:3 ren2	女人	女人	nu:3 ren2
字|字|zi4~1	0	詞|词|ci2	詞	词	ci2
它|它|ta1~1	0	他|他|ta1	他	他	ta1
它|它|ta1~1	1	她|她|ta1	她	她	ta1
它們|它们|ta1 men5~1	0	他們|他们|ta1 men5	他們	他们	ta1 men5
宇宙|宇宙|yu3 zhou4~1	0	太空|太空|tai4 kong1	太空	太空	tai4 kong1
完成|完成|wan2 cheng2~1	0	結束|结束|jie2 shu4	結束	结束	jie2 shu4
家族|家族|jia1 zu2~1	0	家庭|家庭|jia1 ting2	家庭	家庭	jia1 ting2
實現|实现|shi2 xian4~1	0	完成|完成|wan2 cheng2	完成	完成	wan2 cheng2
實際|实际|shi2 ji4~1	0	實際上|实际上|shi2 ji4 shang4	實際上	实际上	shi2 ji4 shang4
實際上|实际上|shi2 ji4 shang4~1	0	其實|其实|qi2 shi2	其實	其实	qi2 shi2
實驗|实验|shi2 yan4~1	0	試驗|试验|shi4 yan4	試驗	试验	shi4 yan4
將|将|jiang1~2	0	把|把|ba3	把	把	ba3
將|将|jiang4~2	0	象棋|象棋|xiang4 qi2	象棋	象棋	xiang4 qi2
將|将|jiang4~3	0	率領|率领|shuai4 ling3	率領	率领	shuai4 ling3
將|将|qiang1~1	0	請|请|qing3	請	请	qing3
專業|专业|zhuan1 ye4~1	0	職業|职业|zhi2 ye4	職業	职业	zhi2 ye4
尊重|尊重|zun1 zhong4~1	0	尊敬|尊敬|zun1 jing4	尊敬	尊敬	zun1 jing4
對|对|dui4~2	0	對於|对于|dui4 yu2	對於	对于	dui4 yu2
對|对|dui4~6	0	雙|双|shuang1	雙	双	shuang1
對於|对于|dui4 yu2~1	0	對|对|dui4	對	对	dui4
小時|小时|xiao3 shi2~1	0	點|点|dian3	點	点	dian3
就是|就是|jiu4 shi4~3	0	即使|即使|ji2 shi3	即使	即使	ji2 shi3
屍體|尸体|shi1 ti3~1	0	遺體|遗体|yi2 ti3	遺體	遗体	yi2 ti3
屬|属|shu3~1	0	屬於|属于|shu3 yu2	屬於	属于	shu3 yu2
左|左|zuo3~1	0	右|右|you4	右	右	you4
左|左|zuo3~2	0	右|右|you4	右	右	you4
已|已|yi3~1	0	已經|已经|yi3 jing1	已經	已经	yi3 jing1
巴士|巴士|ba1 shi4~1	0	公共汽車|公共汽车|gong1 gong4 qi4 che1	公共汽車	公共汽车	gong1 gong4 qi4 che1
帶|带|dai4~11	0	帶子|带子|dai4 zi5	帶子	带子	dai4 zi5
帶|带|dai4~7	0	戴|戴|dai4	戴	戴	dai4
常|常|chang2~1	0	常常|常常|chang2 chang2	常常	常常	chang2 chang2
常常|常常|chang2 chang2~1	0	往往|往往|wang3 wang3	往往	往往	wang3 wang3
幅|幅|fu2~2	0	張|张|zhang1	張	张	zhang1
幫助|帮助|bang1 zhu4~1	0	幫忙|帮忙|bang1 mang2	幫忙	帮忙	bang1 mang2
干|干|gan1~2	0	地支|地支|di4 zhi1	地支	地支	di4 zhi1
干|干|gan1~3	0	盾牌|盾牌|dun4 pai2	盾牌	盾牌	dun4 pai2
年|年|nian2~1	0	歲|岁|sui4	歲	岁	sui4
年|年|nian2~2	0	春節|春节|Chun1 jie2	春節	春节	Chun1 jie2
年|年|nian2~3	0	歲數|岁数|sui4 shu5	歲數	岁数	sui4 shu5
年代|年代|nian2 dai4~2	0	時代|时代|shi2 dai4	時代	时代	shi2 dai4
幾|几|ji3~1	0	多少|多少|duo1 shao3	多少	多少	duo1 shao3
幾乎|几乎|ji1 hu1~1	0	差不多|差不多|cha4 bu5 duo1	差不多	差不多	cha4 bu5 duo1
底|底|de5~1	0	的|的|de5	的	的	de5
座|座|zuo4~5	0	師座|师座|shi1 zuo4	師座	师座	shi1 zuo4
建造|建造|jian4 zao4~1	0	建設|建设|jian4 she4	建設	建设	jian4 she4
引|引|yin3~1	0	引起|引起|yin3 qi3	引起	引起	yin3 qi3
引|引|yin3~1	1	吸引|吸引|xi1 yin3	吸引	吸引	xi1 yin3
引|引|yin3~2	0	引導|引导|yin3 dao3	引導	引导	yin3 dao3
引|引|yin3~3	0	引用|引用|yin3 yong4	引用	引用	yin3 yong4
引|引|yin3~6	0	丈|丈|zhang4	丈	丈	zhang4
引擎|引擎|yin3 qing2~1	0	發動機|发动机|fa1 dong4 ji1	發動機	发动机	fa1 dong4 ji1
引發|引发|yin3 fa1~1	0	引起|引起|yin3 qi3	引起	引起	yin3 qi3
張|张|zhang1~4	0	條|条|tiao2	條	条	tiao2
強|强|qiang2~1	0	百強|百强|bai3 qiang2	百強	百强	bai3 qiang2
形式|形式|xing2 shi4~1	0	形狀|形状|xing2 zhuang4	形狀	形状	xing2 zhuang4
往|往|wang3~1	0	向|向|xiang4	向	向	xiang4
待|待|dai1~1	0	呆|呆|dai1	呆	呆	dai1
後|后|hou4~1	0	前|前|qian2	前	前	qian2
後來|后来|hou4 lai2~1	0	以後|以后|yi3 hou4	以後	以后	yi3 hou4
得|得|de2~1	0	得到|得到|de2 dao4	得到	得到	de2 dao4
得|得|dei3~1	0	必須|必须|bi4 xu1	必須	必须	bi4 xu1
得到|得到|de2 dao4~1	0	受到|受到|shou4 dao4	受到	受到	shou4 dao4
從未|从未|cong2 wei4~1	0	從來|从来|cong2 lai2	從來	从来	cong2 lai2
必須|必须|bi4 xu1~1	0	必需|必需|bi4 xu1	必需	必需	bi4 xu1
快速|快速|kuai4 su4~1	0	快|快|kuai4	快	快	kuai4
思想|思想|si1 xiang3~1	0	想法|想法|xiang3 fa3	想法	想法	xiang3 fa3
怪|怪|guai4~1	0	奇怪|奇怪|qi2 guai4	奇怪	奇怪	qi2 guai4
恩|恩|en1~2	0	嗯|嗯|en4	嗯	嗯	en4
想法|想法|xiang3 fa3~1	0	看法|看法|kan4 fa3	看法	看法	kan4 fa3
意義|意义|yi4 yi4~2	0	意思|意思|yi4 si5	意思	意思	yi4 si5
愛|爱|ai4~1	0	喜歡|喜欢|xi3 huan5	喜歡	喜欢	xi3 huan5
感|感|gan3~3	0	性|性|xing4	性	性	xing4
感情|感情|gan3 qing2~1	0	感覺|感觉|gan3 jue2	感覺	感觉	gan3 jue2
感覺|感觉|gan3 jue2~1	0	覺得|觉得|jue2 de5	覺得	觉得	jue2 de5
應|应|ying1~1	0	應該|应该|ying1 gai1	應該	应该	ying1 gai1
應該|应该|ying1 gai1~1	0	必須|必须|bi4 xu1	必須	必须	bi4 xu1
成|成|cheng2~3	0	行|行|xing2	行	行	xing2
成為|成为|cheng2 wei2~1	0	變成|变成|bian4 cheng2	變成	变成	bian4 cheng2
成績|成绩|cheng2 ji4~1	0	成果|成果|cheng2 guo3	成果	成果	cheng2 guo3
我們|我们|wo3 men5~1	0	咱們|咱们|zan2 men5	咱們	咱们	zan2 men5
或|或|huo4~1	0	還是|还是|hai2 shi5	還是	还是	hai2 shi5
或|或|huo4~2	0	或許|或许|huo4 xu3	或許	或许	huo4 xu3
或是|或是|huo4 shi4~1	0	還是|还是|hai2 shi5	還是	还是	hai2 shi5
或者|或者|huo4 zhe3~1	0	還是|还是|hai2 shi5	還是	还是	hai2 shi5
戰鬥|战斗|zhan4 dou4~1	0	戰爭|战争|zhan4 zheng1	戰爭	战争	zhan4 zheng1
戴|戴|dai4~1	0	穿|穿|chuan1	穿	穿	chuan1
所|所|suo3~2	0	間|间|jian1	間	间	jian1
所|所|suo3~2	1	家|家|jia1	家	家	jia1
所有|所有|suo3 you3~1	0	全部|全部|quan2 bu4	全部	全部	quan2 bu4
所有|所有|suo3 you3~2	0	佔有|占有|zhan4 you3	佔有	占有	zhan4 you3
所有|所有|suo3 you3~2	1	屬於|属于|shu3 yu2	屬於	属于	shu3 yu2
打算|打算|da3 suan4~1	0	計劃|计划|ji4 hua4	計劃	计划	ji4 hua4
托|托|tuo1~2	0	託|托|tuo1	託	托	tuo1
批准|批准|pi1 zhun3~1	0	同意|同意|tong2 yi4	同意	同意	tong2 yi4
找到|找到|zhao3 dao4~1	0	找|找|zhao3	找	找	zhao3
承認|承认|cheng2 ren4~1	0	同意|同意|tong2 yi4	同意	同意	tong2 yi4
投|投|tou2~2	0	投票|投票|tou2 piao4	投票	投票	tou2 piao4
投|投|tou2~2	1	投資|投资|tou2 zi1	投資	投资	tou2 zi1
投|投|tou2~3	0	投稿|投稿|tou2 gao3	投稿	投稿	tou2 gao3
拉|拉|la1~1	0	推|推|tui1	推	推	tui1
拍攝|拍摄|pai1 she4~1	0	拍|拍|pai1	拍	拍	pai1
拿|拿|na2~2	0	把|把|ba3	把	把	ba3
持續|持续|chi2 xu4~1	0	繼續|继续|ji4 xu4	繼續	继续	ji4 xu4
按|按|an4~2	0	按照|按照|an4 zhao4	按照	按照	an4 zhao4
按照|按照|an4 zhao4~1	0	根據|根据|gen1 ju4	根據	根据	gen1 ju4
