sense_uid	seq	trad	simp	pinyin	target_entry_id	resolved	ex_trad	ex_simp	ex_realized	ex_spans	ex_shows	ex_shows_simp
主|主|zhu3~5	1	賣主	卖主	mai4 zhu3	賣主|卖主|mai4 zhu3	1	賣主希望早一點賣掉這輛車。	卖主希望早一点卖掉这辆车。	賣主	[[0, 2]]		
主|主|zhu3~5	2	事主	事主	shi4 zhu3	事主|事主|shi4 zhu3	1	警方已經聯繫上事主。	警方已经联系上事主。	事主	[[7, 9]]		
乾|乾|qian2~1	0	乾坤	乾坤	qian2 kun1	乾坤|乾坤|qian2 kun1	1	這場比賽他一個人扭轉了乾坤。	这场比赛他一个人扭转了乾坤。	乾坤	[[11, 13]]		
乾|干|gan1~2	0	牛肉乾	牛肉干	niu2 rou4 gan1	牛肉乾|牛肉干|niu2 rou4 gan1	1	他帶了一包牛肉乾當點心。	他带了一包牛肉干当点心。	牛肉乾	[[5, 8]]		
乾|干|gan1~2	1	葡萄乾	葡萄干	pu2 tao5 gan1	葡萄乾|葡萄干|pu2 tao5 gan1	1	這種麵包裡有很多葡萄乾。	这种面包里有很多葡萄干。	葡萄乾	[[8, 11]]		
乾|干|gan1~3	0	乾媽	干妈	gan1 ma1	乾媽|干妈|gan1 ma1	1	這位是我的乾媽，對我很好。	这位是我的干妈，对我很好。	乾媽	[[5, 7]]		
乾|干|gan1~3	1	乾爹	干爹	gan1 die1	乾爹|干爹|gan1 die1	1	他乾爹每年都會來看他。	他干爹每年都会来看他。	乾爹	[[1, 3]]		
乾|干|gan1~4	0	乾等	干等	gan1 deng3	乾等|干等|gan1 deng3	1	車還沒來，我們只能乾等。	车还没来，我们只能干等。	乾等	[[9, 11]]	副	副
乾|干|gan1~4	1	乾著急	干着急	gan1 zhao2 ji2	乾著急|干着急|gan1 zhao2 ji2	1	他在門外乾著急，幫不上忙。	他在门外干着急，帮不上忙。	乾著急	[[4, 7]]	副	副
乾|干|gan1~4	2	外強中乾	外强中干	wai4 qiang2 zhong1 gan1	外強中乾|外强中干|wai4 qiang2 zhong1 gan1	1	他看起來厲害，其實外強中乾。	他看起来厉害，其实外强中干。	外強中乾	[[9, 13]]	形	形
亂|乱|luan4~4	0	擾亂	扰乱	rao3 luan4	擾亂|扰乱|rao3 luan4	1	他大聲說話，擾亂了會議的進行。	他大声说话，扰乱了会议的进行。	擾亂	[[6, 8]]		
亂|乱|luan4~4	1	攪亂	搅乱	jiao3 luan4	攪亂|搅乱|jiao3 luan4	1	一場大雨把我們的安排全攪亂了。	一场大雨把我们的安排全搅乱了。	攪亂	[[11, 13]]		
亂|乱|luan4~4	2	搗亂	捣乱	dao3 luan4	搗亂|捣乱|dao3 luan4	1	孩子們在教室裡搗亂。	孩子们在教室里捣乱。	搗亂	[[7, 9]]		
亂|乱|luan4~5	0	動亂	动乱	dong4 luan4	動亂|动乱|dong4 luan4	1	那個國家經歷了十年的動亂。	那个国家经历了十年的动乱。	動亂	[[10, 12]]		
亂|乱|luan4~5	1	戰亂	战乱	zhan4 luan4	戰亂|战乱|zhan4 luan4	1	戰亂中有很多人失去了家人。	战乱中有很多人失去了家人。	戰亂	[[0, 2]]		
亂|乱|luan4~5	2	叛亂	叛乱	pan4 luan4	叛亂|叛乱|pan4 luan4	1	這場叛亂很快就結束了。	这场叛乱很快就结束了。	叛亂	[[2, 4]]		
亂|乱|luan4~6	0	亂倫	乱伦	luan4 lun2	亂倫|乱伦|luan4 lun2	1	許多國家的法律都禁止亂倫。	许多国家的法律都禁止乱伦。	亂倫	[[10, 12]]		
亂|乱|luan4~6	1	淫亂	淫乱	yin2 luan4	淫亂|淫乱|yin2 luan4	1	這個人生活淫亂，名聲很差。	这个人生活淫乱，名声很差。	淫亂	[[5, 7]]		
了|了|liao3~2	0	了結	了结	liao3 jie2	了結|了结|liao3 jie2	1	這場爭吵最後如何了結？	这场争吵最后如何了结？	了結	[[8, 10]]		
了|了|liao3~2	1	了事	了事	liao3 shi4	了事|了事|liao3 shi4	1	他不想多說，只求早點了事。	他不想多说，只求早点了事。	了事	[[10, 12]]		
了|了|liao3~2	2	沒完沒了	没完没了	mei2 wan2 mei2 liao3	沒完沒了|没完没了|mei2 wan2 mei2 liao3	1	他們的討論沒完沒了。	他们的讨论没完没了。	沒完沒了	[[5, 9]]		
事業|事业|shi4 ye4~2	0	事業單位	事业单位	shi4 ye4 dan1 wei4	事業單位|事业单位|shi4 ye4 dan1 wei4	1	他大學畢業後進了事業單位。	他大学毕业后进了事业单位。	事業單位	[[8, 12]]		
井|井|jing3~2	0	井然有序	井然有序	jing3 ran2 you3 xu4	井然有序|井然有序|jing3 ran2 you3 xu4	1	屋子裡的東西放得井然有序。	屋子里的东西放得井然有序。	井然有序	[[8, 12]]		
井|井|jing3~2	1	井井有條	井井有条	jing3 jing3 you3 tiao2	井井有條|井井有条|jing3 jing3 you3 tiao2	1	她把家裡管理得井井有條。	她把家里管理得井井有条。	井井有條	[[7, 11]]		
亞|亚|ya4~1	0	亞軍	亚军	ya4 jun1	亞軍|亚军|ya4 jun1	1	他在這次比賽中得了亞軍。	他在这次比赛中得了亚军。	亞軍	[[9, 11]]		
亞|亚|ya4~1	1	亞熱帶	亚热带	ya4 re4 dai4	亞熱帶|亚热带|ya4 re4 dai4	1	這種水果多長在亞熱帶地區。	这种水果多长在亚热带地区。	亞熱帶	[[7, 10]]		
什|什|shen2~1	0	什麼	什么	shen2 me5	什麼|什么|shen2 me5	1	這個字是什麼意思？	这个字是什么意思？	什麼	[[4, 6]]		
什|什|shen2~1	1	為什麼	为什么	wei4 shen2 me5	為什麼|为什么|wei4 shen2 me5	1	他為什麼今天沒來上班？	他为什么今天没来上班？	為什麼	[[1, 4]]		
什|什|shen2~1	2	什麼樣	什么样	shen2 me5 yang4	什麼樣|什么样|shen2 me5 yang4	1	你想找什麼樣的工作？	你想找什么样的工作？	什麼樣	[[3, 6]]		
什|什|shi2~1	0	什錦	什锦	shi2 jin3	什錦|什锦|shi2 jin3	1	這家店的什錦炒飯很有名。	这家店的什锦炒饭很有名。	什錦	[[4, 6]]		
今|今|jin1~1	0	今天	今天	jin1 tian1	今天|今天|jin1 tian1	1	今天的天氣特別好。	今天的天气特别好。	今天	[[0, 2]]		
今|今|jin1~1	1	今年	今年	jin1 nian2	今年|今年|jin1 nian2	1	今年我打算去南方旅行。	今年我打算去南方旅行。	今年	[[0, 2]]		
今|今|jin1~1	2	今晚	今晚	jin1 wan3	今晚|今晚|jin1 wan3	1	今晚有一場重要的比賽。	今晚有一场重要的比赛。	今晚	[[0, 2]]		
今|今|jin1~2	0	至今	至今	zhi4 jin1	至今|至今|zhi4 jin1	1	這件事至今還沒有結果。	这件事至今还没有结果。	至今	[[3, 5]]		
今|今|jin1~2	1	古今	古今	gu3 jin1	古今|古今|gu3 jin1	1	古今中外都有這樣的故事。	古今中外都有这样的故事。	古今	[[0, 2]]		
今|今|jin1~2	2	當今	当今	dang1 jin1	當今|当今|dang1 jin1	1	他是當今最有名的歌手。	他是当今最有名的歌手。	當今	[[2, 4]]		
仍|仍|reng2~2	0	頻仍	频仍	pin2 reng2	頻仍|频仍|pin2 reng2	1	這些年戰爭頻仍，人民生活很苦。	这些年战争频仍，人民生活很苦。	頻仍	[[5, 7]]		
仔|仔|zai3~1	0	打工仔	打工仔	da3 gong1 zai3	打工仔|打工仔|da3 gong1 zai3	1	他年輕時當過幾年打工仔。	他年轻时当过几年打工仔。	打工仔	[[8, 11]]		
仔|仔|zai3~1	1	牛仔	牛仔	niu2 zai3	牛仔|牛仔|niu2 zai3	1	那個牛仔騎著馬走了過來。	那个牛仔骑着马走了过来。	牛仔	[[2, 4]]		
仔|仔|zi3~1	0	仔豬	仔猪	zi3 zhu1	仔豬|仔猪|zi3 zhu1	1	這家農場今年多了不少仔豬。	这家农场今年多了不少仔猪。	仔豬	[[10, 12]]		
仔|仔|zi3~1	1	仔雞	仔鸡	zi3 ji1	仔雞|仔鸡|zi3 ji1	1	市場上的仔雞賣得很快。	市场上的仔鸡卖得很快。	仔雞	[[4, 6]]		
仔|仔|zi3~2	0	仔細	仔细	zi3 xi4	仔細|仔细|zi3 xi4	1	他做事很仔細，從來不出錯。	他做事很仔细，从来不出错。	仔細	[[4, 6]]		
他|他|ta1~2	0	其他	其他	qi2 ta1	其他|其他|qi2 ta1	1	除了這本書，其他的我都看過了。	除了这本书，其他的我都看过了。	其他	[[6, 8]]		
他|他|ta1~2	1	他人	他人	ta1 ren2	他人|他人|ta1 ren2	1	不要隨便拿他人的東西。	不要随便拿他人的东西。	他人	[[5, 7]]		
他|他|ta1~2	2	他日	他日	ta1 ri4	他日|他日|ta1 ri4	1	今天時間不多，這件事他日再談。	今天时间不多，这件事他日再谈。	他日	[[10, 12]]		
代|代|dai4~1	0	現代	现代	xian4 dai4	現代|现代|xian4 dai4	1	現代的生活跟以前很不一樣。	现代的生活跟以前很不一样。	現代	[[0, 2]]		
代|代|dai4~1	1	古代	古代	gu3 dai4	古代|古代|gu3 dai4	1	這本書講的是古代的故事。	这本书讲的是古代的故事。	古代	[[6, 8]]		
代|代|dai4~1	2	時代	时代	shi2 dai4	時代|时代|shi2 dai4	1	我們生活在一個變化很快的時代。	我们生活在一个变化很快的时代。	時代	[[12, 14]]		
令|令|ling4~1	0	下令	下令	xia4 ling4	下令|下令|xia4 ling4	1	將軍下令部隊馬上出發。	将军下令部队马上出发。	下令	[[2, 4]]	動	动
令|令|ling4~1	1	命令	命令	ming4 ling4	命令|命令|ming4 ling4	1	他不敢不聽上級的命令。	他不敢不听上级的命令。	命令	[[8, 10]]	名	名
令|令|ling4~1	2	法令	法令	fa3 ling4	法令|法令|fa3 ling4	1	新的法令保護了工人的權利。	新的法令保护了工人的权利。	法令	[[2, 4]]	名	名
令|令|ling4~3	0	時令	时令	shi2 ling4	時令|时令|shi2 ling4	1	市場上賣的都是時令水果。	市场上卖的都是时令水果。	時令	[[7, 9]]		
令|令|ling4~3	1	夏令營	夏令营	xia4 ling4 ying2	夏令營|夏令营|xia4 ling4 ying2	1	孩子們很喜歡參加夏令營。	孩子们很喜欢参加夏令营。	夏令營	[[8, 11]]		
令|令|ling4~4	0	令尊	令尊	ling4 zun1	令尊|令尊|ling4 zun1	1	請問令尊今年多大年齡？	请问令尊今年多大年龄？	令尊	[[2, 4]]		
令|令|ling4~4	1	令郎	令郎	ling4 lang2	令郎|令郎|ling4 lang2	1	聽說令郎考上了大學。	听说令郎考上了大学。	令郎	[[2, 4]]		
令|令|ling4~5	0	縣令	县令	xian4 ling4	縣令|县令|xian4 ling4	1	這位縣令為百姓做了不少好事。	这位县令为百姓做了不少好事。	縣令	[[2, 4]]		
以|以|yi3~2	0	以上	以上	yi3 shang4	以上|以上|yi3 shang4	1	參加的人數在兩百以上。	参加的人数在两百以上。	以上	[[8, 10]]		
以|以|yi3~2	1	以後	以后	yi3 hou4	以後|以后|yi3 hou4	1	下課以後我們一起去打球。	下课以后我们一起去打球。	以後	[[2, 4]]		
以|以|yi3~2	2	以來	以来	yi3 lai2	以來|以来|yi3 lai2	1	今年以來，天氣一直很奇怪。	今年以来，天气一直很奇怪。	以來	[[2, 4]]		
以|以|yi3~2	3	以下	以下	yi3 xia4	以下|以下|yi3 xia4	1	六歲以下的兒童可以免費坐車。	六岁以下的儿童可以免费坐车。	以下	[[2, 4]]		
件|件|jian4~2	0	文件	文件	wen2 jian4	文件|文件|wen2 jian4	1	請把這份文件交給老師。	请把这份文件交给老师。	文件	[[4, 6]]		
件|件|jian4~2	1	郵件	邮件	you2 jian4	郵件|邮件|you2 jian4	1	他每天都會收到很多郵件。	他每天都会收到很多邮件。	郵件	[[9, 11]]		
件|件|jian4~2	2	零件	零件	ling2 jian4	零件|零件|ling2 jian4	1	這種零件在市場上很難買到。	这种零件在市场上很难买到。	零件	[[2, 4]]		
任|任|ren4~1	0	責任	责任	ze2 ren4	責任|责任|ze2 ren4	1	這件事的責任在我。	这件事的责任在我。	責任	[[4, 6]]		
任|任|ren4~1	1	主任	主任	zhu3 ren4	主任|主任|zhu3 ren4	1	主任明天要開一個會議。	主任明天要开一个会议。	主任	[[0, 2]]		
任|任|ren4~1	2	任期	任期	ren4 qi1	任期|任期|ren4 qi1	1	市長的任期還有兩年。	市长的任期还有两年。	任期	[[3, 5]]		
任|任|ren4~3	0	任命	任命	ren4 ming4	任命|任命|ren4 ming4	1	公司任命她負責這個項目。	公司任命她负责这个项目。	任命	[[2, 4]]		
任|任|ren4~3	1	任用	任用	ren4 yong4	任用|任用|ren4 yong4	1	這家工廠任用了不少年輕人。	这家工厂任用了不少年轻人。	任用	[[4, 6]]		
任|任|ren4~3	2	委任	委任	wei3 ren4	委任|委任|wei3 ren4	1	他被委任為這次活動的主持人。	他被委任为这次活动的主持人。	委任	[[2, 4]]		
份|份|fen4~2	0	股份	股份	gu3 fen4	股份|股份|gu3 fen4	1	他賣掉了公司的股份。	他卖掉了公司的股份。	股份	[[7, 9]]		
份|份|fen4~2	1	月份	月份	yue4 fen4	月份|月份|yue4 fen4	1	請寫上出生的月份。	请写上出生的月份。	月份	[[6, 8]]		
伯|伯|bo2~1	0	伯父	伯父	bo2 fu4	伯父|伯父|bo2 fu4	1	我伯父下個月要來看我們。	我伯父下个月要来看我们。	伯父	[[1, 3]]		
伯|伯|bo2~1	1	伯母	伯母	bo2 mu3	伯母|伯母|bo2 mu3	1	伯母做的菜特別好吃。	伯母做的菜特别好吃。	伯母	[[0, 2]]		
伯|伯|bo2~1	2	伯伯	伯伯	bo2 bo5	伯伯|伯伯|bo2 bo5	1	他從小跟著伯伯一起生活。	他从小跟着伯伯一起生活。	伯伯	[[5, 7]]		
伯|伯|bo2~2	0	老伯	老伯	lao3 bo2	老伯|老伯|lao3 bo2	1	那位老伯每天早上都去公園。	那位老伯每天早上都去公园。	老伯	[[2, 4]]		
伯|伯|bo2~3	0	伯爵	伯爵	bo2 jue2	伯爵|伯爵|bo2 jue2	1	這本書寫的是一位伯爵的故事。	这本书写的是一位伯爵的故事。	伯爵	[[8, 10]]		
但|但|dan4~2	0	不但	不但	bu4 dan4	不但|不但|bu4 dan4	1	他不但會唱歌，還會跳舞。	他不但会唱歌，还会跳舞。	不但	[[1, 3]]		
但|但|dan4~2	1	但願	但愿	dan4 yuan4	但願|但愿|dan4 yuan4	1	但願他能早日恢復健康。	但愿他能早日恢复健康。	但願	[[0, 2]]		
佈|布|bu4~1	0	宣佈	宣布	xuan1 bu4	宣佈|宣布|xuan1 bu4	1	主席宣佈會議開始。	主席宣布会议开始。	宣佈	[[2, 4]]		
佈|布|bu4~1	1	公佈	公布	gong1 bu4	公佈|公布|gong1 bu4	1	學校下週公佈錄取名單。	学校下周公布录取名单。	公佈	[[4, 6]]		
佈|布|bu4~1	2	發佈	发布	fa1 bu4	發佈|发布|fa1 bu4	1	這家公司剛剛發佈新產品。	这家公司刚刚发布新产品。	發佈	[[6, 8]]		
佈|布|bu4~2	0	分佈	分布	fen1 bu4	分佈|分布|fen1 bu4	1	山上分佈著許多小村子。	山上分布着许多小村子。	分佈	[[2, 4]]		
佈|布|bu4~2	1	佈置	布置	bu4 zhi4	佈置|布置|bu4 zhi4	1	他們正在佈置明天的會場。	他们正在布置明天的会场。	佈置	[[4, 6]]		
位|位|wei4~1	0	位置	位置	wei4 zhi5	位置|位置|wei4 zhi5	1	這家店的位置很好找。	这家店的位置很好找。	位置	[[4, 6]]		
位|位|wei4~1	1	座位	座位	zuo4 wei4	座位|座位|zuo4 wei4	1	車上的座位已經坐滿了。	车上的座位已经坐满了。	座位	[[3, 5]]		
位|位|wei4~1	2	職位	职位	zhi2 wei4	職位|职位|zhi2 wei4	1	他在公司申請了新的職位。	他在公司申请了新的职位。	職位	[[9, 11]]		
位|位|wei4~4	0	電位	电位	dian4 wei4	電位|电位|dian4 wei4	1	老師讓我們計算兩點的電位。	老师让我们计算两点的电位。	電位	[[10, 12]]		
位|位|wei4~4	1	位能	位能	wei4 neng2	位能|位能|wei4 neng2	1	石頭離地越高，位能越大。	石头离地越高，位能越大。	位能	[[7, 9]]		
住|住|zhu4~2	0	抓住	抓住	zhua1 zhu4	抓住|抓住|zhua1 zhu4	1	他抓住機會，向老師提出問題。	他抓住机会，向老师提出问题。	抓住	[[1, 3]]		
住|住|zhu4~2	1	擋住	挡住	dang3 zhu4	擋住|挡住|dang3 zhu4	1	前面的大樓擋住了陽光。	前面的大楼挡住了阳光。	擋住	[[5, 7]]		
住|住|zhu4~2	2	忍不住	忍不住	ren3 bu5 zhu4	忍不住|忍不住|ren3 bu5 zhu4	1	聽到這個消息，她忍不住哭了。	听到这个消息，她忍不住哭了。	忍不住	[[8, 11]]		
住|住|zhu4~3	0	住口	住口	zhu4 kou3	住口|住口|zhu4 kou3	1	他一聽就生氣，叫我住口。	他一听就生气，叫我住口。	住口	[[9, 11]]		
住|住|zhu4~3	1	住手	住手	zhu4 shou3	住手|住手|zhu4 shou3	1	快住手，別再弄壞東西了！	快住手，别再弄坏东西了！	住手	[[1, 3]]		
住|住|zhu4~3	2	住嘴	住嘴	zhu4 zui3	住嘴|住嘴|zhu4 zui3	1	你給我住嘴，不要再說了。	你给我住嘴，不要再说了。	住嘴	[[3, 5]]		
何|何|he2~1	0	如何	如何	ru2 he2	如何|如何|ru2 he2	1	你覺得這個辦法如何？	你觉得这个办法如何？	如何	[[7, 9]]		
何|何|he2~1	1	為何	为何	wei4 he2	為何|为何|wei4 he2	1	他至今不明白為何失敗。	他至今不明白为何失败。	為何	[[6, 8]]		
何|何|he2~1	2	何時	何时	he2 shi2	何時|何时|he2 shi2	1	我們不知何時才能見面。	我们不知何时才能见面。	何時	[[4, 6]]		
作|作|zuo1~1	0	作坊	作坊	zuo1 fang5	作坊|作坊|zuo1 fang5	1	這家小作坊只有五個工人。	这家小作坊只有五个工人。	作坊	[[3, 5]]		
作|作|zuo4~3	0	當作	当作	dang4 zuo4	當作|当作|dang4 zuo4	1	他一直當作沒聽見。	他一直当作没听见。	當作	[[3, 5]]		
作|作|zuo4~3	1	看作	看作	kan4 zuo4	看作|看作|kan4 zuo4	1	我們可以把失敗看作一種經驗。	我们可以把失败看作一种经验。	看作	[[7, 9]]		
作|作|zuo4~4	0	著作	著作	zhu4 zuo4	著作|著作|zhu4 zuo4	1	這位學者有很多重要著作。	这位学者有很多重要著作。	著作	[[9, 11]]		
作|作|zuo4~4	1	名作	名作	ming2 zuo4	名作|名作|ming2 zuo4	1	他讀過很多古代名作。	他读过很多古代名作。	名作	[[7, 9]]		
作|作|zuo4~5	0	裝作	装作	zhuang1 zuo4	裝作|装作|zhuang1 zuo4	1	她裝作很高興的樣子。	她装作很高兴的样子。	裝作	[[1, 3]]		
作|作|zuo4~5	1	故作	故作	gu4 zuo4	故作|故作|gu4 zuo4	1	他故作冷靜，其實很緊張。	他故作冷静，其实很紧张。	故作	[[1, 3]]		
作|作|zuo4~6	0	作痛	作痛	zuo4 tong4	作痛|作痛|zuo4 tong4	1	他的腿受過傷，天冷時就作痛。	他的腿受过伤，天冷时就作痛。	作痛	[[11, 13]]		
作|作|zuo4~6	1	作嘔	作呕	zuo4 ou3	作嘔|作呕|zuo4 ou3	1	這種場面讓人作嘔。	这种场面让人作呕。	作嘔	[[6, 8]]		
作用|作用|zuo4 yong4~3	0	光合作用	光合作用	guang1 he2 zuo4 yong4	光合作用|光合作用|guang1 he2 zuo4 yong4	1	植物靠光合作用得到能量。	植物靠光合作用得到能量。	光合作用	[[3, 7]]	動詞後	动词后
作用|作用|zuo4 yong4~3	1	抑制作用	抑制作用	yi4 zhi4 zuo4 yong4	抑制作用|抑制作用|yi4 zhi4 zuo4 yong4	1	這種藥物對病毒有抑制作用。	这种药物对病毒有抑制作用。	抑制作用	[[8, 12]]	動詞後	动词后
使|使|shi3~7	0	大使	大使	da4 shi3	大使|大使|da4 shi3	1	他當了三年大使，剛回國。	他当了三年大使，刚回国。	大使	[[5, 7]]		
使|使|shi3~7	1	使者	使者	shi3 zhe3	使者|使者|shi3 zhe3	1	他作為和平使者去了很多國家。	他作为和平使者去了很多国家。	使者	[[5, 7]]		
使|使|shi3~7	2	天使	天使	tian1 shi3	天使|天使|tian1 shi3	1	她的笑容像天使一樣可愛。	她的笑容像天使一样可爱。	天使	[[5, 7]]		
使|使|shi3~8	0	指使	指使	zhi3 shi3	指使|指使|zhi3 shi3	1	這件事是誰指使你做的？	这件事是谁指使你做的？	指使	[[5, 7]]		
使|使|shi3~8	1	使喚	使唤	shi3 huan5	使喚|使唤|shi3 huan5	1	他總是使喚弟弟幫他拿東西。	他总是使唤弟弟帮他拿东西。	使喚	[[3, 5]]		
來|来|lai2~8	0	來年	来年	lai2 nian2	來年|来年|lai2 nian2	1	來年春天我們打算搬家。	来年春天我们打算搬家。	來年	[[0, 2]]	時間詞前	时间词前
來|来|lai2~8	1	來世	来世	lai2 shi4	來世|来世|lai2 shi4	1	他相信人死後還有來世。	他相信人死后还有来世。	來世	[[8, 10]]	名詞前	名词前
供|供|gong4~2	0	供品	供品	gong4 pin3	供品|供品|gong4 pin3	1	神像前面放著許多供品。	神像前面放着许多供品。	供品	[[8, 10]]		
供|供|gong4~2	1	上供	上供	shang4 gong4	上供|上供|shang4 gong4	1	他們會在重要的日子上供。	他们会在重要的日子上供。	上供	[[9, 11]]		
供|供|gong4~3	0	招供	招供	zhao1 gong4	招供|招供|zhao1 gong4	1	他最後向警方招供了。	他最后向警方招供了。	招供	[[6, 8]]	動	动
供|供|gong4~3	1	口供	口供	kou3 gong4	口供|口供|kou3 gong4	1	警察記下了他的口供。	警察记下了他的口供。	口供	[[7, 9]]	名	名
依|依|yi1~2	0	依靠	依靠	yi1 kao4	依靠|依靠|yi1 kao4	1	他一直依靠自己的努力生活。	他一直依靠自己的努力生活。	依靠	[[3, 5]]		
